Biomasa;pH;Salinidad;Zinc;potasio
765.28;5.00;33.00;16.45;1441.67
954.02;4.70;35.00;13.99;1299.19
827.69;4.20;32.00;15.33;1154.27
755.07;4.40;30.00;17.31;1045.15
896.18;5.55;33.00;22.33;521.62
1422.84;5.50;33.00;12.28;1273.02
821.07;4.25;36.00;17.82;1346.35
1008.80;4.45;30.00;14.35;1253.88
1306.49;4.75;38.00;13.68;1242.65
1039.64;4.60;30.00;11.76;1282.95
1193.22;4.10;30.00;9.88;553.69
777.47;3.45;37.00;16.68;494.74
818.13;3.45;33.00;12.37;526.97
1203.57;4.10;36.00;9.41;571.14
977.51;3.50;30.00;14.93;408.64
369.82;3.25;30.00;31.29;646.65
509.87;3.25;27.00;30.17;514.03
448.31;3.20;29.00;28.59;350.73
615.09;3.35;34.00;17.88;496.29
545.54;3.30;36.00;18.51;580.92
436.55;3.25;30.00;22.13;535.82
465.91;3.25;28.00;28.61;490.34
664.60;3.20;31.00;23.19;552.39
502.47;3.20;31.00;24.69;661.32
496.80;3.35;35.00;22.68;672.12
2270.29;7.10;29.00;0.37;525.65
2332.22;7.35;35.00;0.27;563.13
2162.53;7.45;35.00;0.32;497.96
2222.59;7.45;30.00;0.26;458.38
2337.33;7.40;30.00;0.21;498.25
1349.19;4.85;26.00;18.99;936.26
1058.98;4.60;29.00;20.97;894.79
1408.21;5.20;25.00;23.98;941.36
1491.28;4.75;26.00;19.97;1038.79
1254.87;5.20;26.00;21.39;898.05
1152.34;4.55;25.00;23.71;989.87
568.46;3.95;26.00;30.56;951.28
612.45;3.70;26.00;26.84;929.83
654.83;3.75;27.00;27.73;925.42
991.83;4.15;27.00;21.57;954.11
1895.94;5.60;24.00;19.65;720.72
1346.88;5.35;27.00;20.33;782.09
1482.79;5.50;26.00;19.59;773.30
1145.64;5.50;28.00;20.13;829.26
1137.19;5.40;28.00;19.24;856.96
